Station|Location|Timestamp|Condition|Celsius|hPa|RelHumidity
ADL|-34.92,138.62,48|2016-06-18T15:49:56Z|Humid|+12.6|1042.2|66
KGI|-30.78,121.45,365|2016-06-18T15:49:56Z|Humid|+12.2|1044.2|66
MEL|-37.83,144.98,7|2016-06-18T15:49:56Z|Cloudy|+15.6|1028.9|54
PER|-31.92,115.87,25|2016-06-18T15:49:56Z|Cloudy|+15.5|1029.9|52
SYD|-33.86,151.21,39|2016-06-18T15:49:56Z|Cloudy|+15.5|1029.8|53
ADL|-34.92,138.62,48|2016-06-18T21:38:28Z|Humid|+14.1|1042.3|66
DRW|-12.42,130.89,30|2016-06-18T21:38:28Z|Cloudy|+15.8|1039.7|54
HBA|-42.89,147.33,50|2016-06-18T21:38:28Z|Cloudy|+17.8|1026.5|53
KGI|-30.78,121.45,365|2016-06-18T21:38:28Z|Humid|+13.8|1044.4|66
MEL|-37.83,144.98,7|2016-06-18T21:38:28Z|Cloudy|+17.4|1029.1|54
PHE|-20.37,118.63,6|2016-06-18T21:38:28Z|Cloudy|+16.3|1036.7|54
SYD|-33.86,151.21,39|2016-06-18T21:38:28Z|Cloudy|+17.4|1030.0|53
ADL|-34.92,138.62,48|2016-06-19T03:41:29Z|Humid|+17.8|1042.5|67
BNE|-27.48,153.04,8|2016-06-19T03:41:29Z|Sunny|+21.2|1035.5|57
DRW|-12.42,130.89,30|2016-06-19T03:41:29Z|Sunny|+21.6|1039.9|55
HBA|-42.89,147.33,50|2016-06-19T03:41:29Z|Sunny|+21.7|1026.7|54
KGI|-30.78,121.45,365|2016-06-19T03:41:29Z|Humid|+17.7|1044.5|67
MEL|-37.83,144.98,7|2016-06-19T03:41:29Z|Sunny|+21.7|1029.3|55
PER|-31.92,115.87,25|2016-06-19T03:41:29Z|Sunny|+22.3|1030.3|53
DRW|-12.42,130.89,30|2016-06-19T09:18:30Z|Cloudy|+18.5|1040.1|57
KGI|-30.78,121.45,365|2016-06-19T09:18:30Z|Humid|+15.7|1044.7|69
MEL|-37.83,144.98,7|2016-06-19T09:18:30Z|Cloudy|+19.6|1029.5|57
PHE|-20.37,118.63,6|2016-06-19T09:18:30Z|Cloudy|+18.8|1037.1|57
SYD|-33.86,151.21,39|2016-06-19T09:18:30Z|Cloudy|+19.7|1030.4|56
BNE|-27.48,153.04,8|2016-06-19T15:24:21Z|Cloudy|+13.0|1035.8|58
CBR|-35.31,149.2,577|2016-06-19T15:24:21Z|Cold|+9.6|1052.4|78
DRW|-12.42,130.89,30|2016-06-19T15:24:21Z|Cloudy|+11.4|1040.2|56
HBA|-42.89,147.33,50|2016-06-19T15:24:21Z|Cloudy|+15.2|1027.1|55
PER|-31.92,115.87,25|2016-06-19T15:24:21Z|Cloudy|+14.2|1030.6|54
PHE|-20.37,118.63,6|2016-06-19T15:24:21Z|Cloudy|+12.4|1037.3|56
SYD|-33.86,151.21,39|2016-06-19T15:24:21Z|Cloudy|+14.3|1030.6|55
BNE|-27.48,153.04,8|2016-06-19T21:41:14Z|Cloudy|+14.7|1035.9|58
HBA|-42.89,147.33,50|2016-06-19T21:41:14Z|Cloudy|+16.7|1027.2|55
PER|-31.92,115.87,25|2016-06-19T21:41:14Z|Cloudy|+15.9|1030.8|54
ADL|-34.92,138.62,48|2016-06-20T03:31:13Z|Humid|+16.3|1043.0|70
ADL|-34.92,138.62,48|2016-06-20T03:31:13Z|Humid|+16.3|1043.0|70
BNE|-27.48,153.04,8|2016-06-20T03:31:13Z|Cloudy|+18.9|1036.1|60
CBR|-35.31,149.2,577|2016-06-20T03:31:13Z|Humid|+13.4|1052.6|80
DRW|-12.42,130.89,30|2016-06-20T03:31:13Z|Cloudy|+18.1|1040.5|58
MEL|-37.83,144.98,7|2016-06-20T03:31:13Z|Sunny|+20.1|1030.0|58
PHE|-20.37,118.63,6|2016-06-20T03:31:13Z|Cloudy|+18.8|1037.6|58
BNE|-27.48,153.04,8|2016-06-20T09:16:22Z|Humid|+16.8|1036.3|61
HBA|-42.89,147.33,50|2016-06-20T09:16:22Z|Cloudy|+18.6|1027.6|58
KGI|-30.78,121.45,365|2016-06-20T09:16:22Z|Humid|+14.3|1045.2|71
MEL|-37.83,144.98,7|2016-06-20T09:16:22Z|Cloudy|+18.2|1030.2|59
PER|-31.92,115.87,25|2016-06-20T09:16:22Z|Cloudy|+18.1|1031.2|57
PHE|-20.37,118.63,6|2016-06-20T09:16:22Z|Cloudy|+16.5|1037.7|59
SYD|-33.86,151.21,39|2016-06-20T09:16:22Z|Cloudy|+18.1|1031.1|58
CBR|-35.31,149.2,577|2016-06-20T15:09:28Z|Cold|+8.9|1052.8|81
DRW|-12.42,130.89,30|2016-06-20T15:09:28Z|Cold|+9.7|1040.8|59
KGI|-30.78,121.45,365|2016-06-20T15:09:28Z|Humid|+10.2|1045.3|71
PHE|-20.37,118.63,6|2016-06-20T15:09:28Z|Cloudy|+10.9|1037.9|59
BNE|-27.48,153.04,8|2016-06-20T21:16:14Z|Humid|+12.9|1036.5|62
DRW|-12.42,130.89,30|2016-06-20T21:16:14Z|Cloudy|+11.0|1040.9|60
HBA|-42.89,147.33,50|2016-06-20T21:16:14Z|Cloudy|+15.5|1027.9|59
MEL|-37.83,144.98,7|2016-06-20T21:16:14Z|Cloudy|+14.7|1030.5|60
PHE|-20.37,118.63,6|2016-06-20T21:16:14Z|Cloudy|+12.1|1038.0|60
SYD|-33.86,151.21,39|2016-06-20T21:16:14Z|Cloudy|+14.4|1031.4|59
DRW|-12.42,130.89,30|2016-06-21T03:45:19Z|Humid|+15.3|1041.1|62
HBA|-42.89,147.33,50|2016-06-21T03:45:19Z|Humid|+19.2|1028.1|61
CBR|-35.31,149.2,577|2016-06-21T10:14:17Z|Rain|+10.5|1053.1|86
DRW|-12.42,130.89,30|2016-06-21T10:14:17Z|Humid|+12.0|1041.2|64
HBA|-42.89,147.33,50|2016-06-21T10:14:17Z|Humid|+16.7|1028.3|63
KGI|-30.78,121.45,365|2016-06-21T10:14:17Z|Humid|+12.2|1045.7|76
MEL|-37.83,144.98,7|2016-06-21T10:14:17Z|Humid|+16.0|1030.8|64
PER|-31.92,115.87,25|2016-06-21T10:14:17Z|Humid|+15.5|1031.8|62
SYD|-33.86,151.21,39|2016-06-21T10:14:17Z|Humid|+15.6|1031.7|63
ADL|-34.92,138.62,48|2016-06-21T16:37:02Z|Cold|+9.7|1043.8|76
BNE|-27.48,153.04,8|2016-06-21T16:37:02Z|Humid|+10.2|1036.9|66
HBA|-42.89,147.33,50|2016-06-21T16:37:02Z|Humid|+13.3|1028.4|63
PER|-31.92,115.87,25|2016-06-21T16:37:02Z|Humid|+11.6|1031.9|62
BNE|-27.48,153.04,8|2016-06-21T22:08:25Z|Humid|+12.0|1037.1|66
MEL|-37.83,144.98,7|2016-06-21T22:08:25Z|Humid|+14.1|1031.1|64
PER|-31.92,115.87,25|2016-06-21T22:08:25Z|Humid|+13.5|1032.0|62
SYD|-33.86,151.21,39|2016-06-21T22:08:25Z|Humid|+13.7|1032.0|63
BNE|-27.48,153.04,8|2016-06-22T04:34:53Z|Humid|+15.4|1037.2|65
DRW|-12.42,130.89,30|2016-06-22T04:34:53Z|Humid|+13.0|1041.5|63
KGI|-30.78,121.45,365|2016-06-22T04:34:53Z|Humid|+13.3|1046.0|75
MEL|-37.83,144.98,7|2016-06-22T04:34:53Z|Humid|+17.4|1031.3|63
PER|-31.92,115.87,25|2016-06-22T04:34:53Z|Humid|+17.0|1032.2|61
BNE|-27.48,153.04,8|2016-06-22T10:15:26Z|Humid|+12.6|1037.3|66
HBA|-42.89,147.33,50|2016-06-22T10:15:26Z|Humid|+15.7|1028.9|63
KGI|-30.78,121.45,365|2016-06-22T10:15:26Z|Humid|+11.0|1046.2|76
MEL|-37.83,144.98,7|2016-06-22T10:15:26Z|Humid|+14.8|1031.4|64
SYD|-33.86,151.21,39|2016-06-22T10:15:26Z|Humid|+14.3|1032.3|63
ADL|-34.92,138.62,48|2016-06-22T16:01:55Z|Cold|+9.0|1044.2|76
HBA|-42.89,147.33,50|2016-06-22T16:01:55Z|Humid|+12.6|1029.0|63
KGI|-30.78,121.45,365|2016-06-22T16:01:55Z|Cold|+8.2|1046.2|76
PER|-31.92,115.87,25|2016-06-22T16:01:55Z|Humid|+10.6|1032.4|62
PHE|-20.37,118.63,6|2016-06-22T16:01:55Z|Cold|+8.1|1038.8|64
SYD|-33.86,151.21,39|2016-06-22T16:01:55Z|Humid|+10.9|1032.4|63
ADL|-34.92,138.62,48|2016-06-22T21:50:41Z|Humid|+10.2|1044.3|75
BNE|-27.48,153.04,8|2016-06-22T21:50:41Z|Humid|+10.6|1037.5|65
HBA|-42.89,147.33,50|2016-06-22T21:50:41Z|Humid|+14.0|1029.2|62
KGI|-30.78,121.45,365|2016-06-22T21:50:41Z|Cold|+9.4|1046.3|75
PER|-31.92,115.87,25|2016-06-22T21:50:41Z|Humid|+12.1|1032.6|61
PHE|-20.37,118.63,6|2016-06-22T21:50:41Z|Cold|+9.5|1038.9|63
SYD|-33.86,151.21,39|2016-06-22T21:50:41Z|Humid|+12.4|1032.5|62
ADL|-34.92,138.62,48|2016-06-23T03:28:25Z|Humid|+12.7|1044.5|75
HBA|-42.89,147.33,50|2016-06-23T03:28:25Z|Humid|+16.9|1029.3|62
KGI|-30.78,121.45,365|2016-06-23T03:28:25Z|Humid|+11.9|1046.5|75
MEL|-37.83,144.98,7|2016-06-23T03:28:25Z|Humid|+16.0|1031.8|63
PHE|-20.37,118.63,6|2016-06-23T03:28:25Z|Humid|+12.5|1039.0|63
SYD|-33.86,151.21,39|2016-06-23T03:28:25Z|Humid|+15.5|1032.7|62
ADL|-34.92,138.62,48|2016-06-23T09:20:29Z|Humid|+11.4|1044.6|74
HBA|-42.89,147.33,50|2016-06-23T09:20:29Z|Humid|+15.5|1029.5|61
MEL|-37.83,144.98,7|2016-06-23T09:20:29Z|Humid|+14.5|1032.0|62
PER|-31.92,115.87,25|2016-06-23T09:20:29Z|Cloudy|+13.6|1032.8|60
ADL|-34.92,138.62,48|2016-06-23T14:59:16Z|Cold|+8.4|1044.7|76
BNE|-27.48,153.04,8|2016-06-23T14:59:16Z|Cold|+8.5|1037.9|66
CBR|-35.31,149.2,577|2016-06-23T14:59:16Z|Cold|+7.0|1053.9|86
DRW|-12.42,130.89,30|2016-06-23T14:59:16Z|Cold|+5.9|1042.0|64
KGI|-30.78,121.45,365|2016-06-23T14:59:16Z|Cold|+7.7|1046.6|76
PHE|-20.37,118.63,6|2016-06-23T14:59:16Z|Cold|+7.3|1039.2|64
CBR|-35.31,149.2,577|2016-06-23T21:11:34Z|Cold|+7.5|1054.0|86
DRW|-12.42,130.89,30|2016-06-23T21:11:34Z|Cold|+6.6|1042.1|64
KGI|-30.78,121.45,365|2016-06-23T21:11:34Z|Cold|+8.4|1046.7|76
PER|-31.92,115.87,25|2016-06-23T21:11:34Z|Humid|+10.7|1033.0|62
HBA|-42.89,147.33,50|2016-06-24T02:42:57Z|Humid|+15.8|1029.9|65
KGI|-30.78,121.45,365|2016-06-24T02:42:57Z|Humid|+10.7|1046.8|78
PER|-31.92,115.87,25|2016-06-24T02:42:57Z|Humid|+13.7|1033.2|64
PHE|-20.37,118.63,6|2016-06-24T02:42:57Z|Humid|+10.7|1039.4|66
ADL|-34.92,138.62,48|2016-06-24T08:13:01Z|Humid|+11.1|1045.0|78
BNE|-27.48,153.04,8|2016-06-24T08:13:01Z|Humid|+11.6|1038.2|68
HBA|-42.89,147.33,50|2016-06-24T08:13:01Z|Humid|+15.3|1030.1|65
MEL|-37.83,144.98,7|2016-06-24T08:13:01Z|Humid|+14.2|1032.5|66
PER|-31.92,115.87,25|2016-06-24T08:13:01Z|Humid|+13.2|1033.3|64
SYD|-33.86,151.21,39|2016-06-24T08:13:01Z|Humid|+13.5|1033.3|65
